Temperatura;Personas;Horas_AC;Horas_TV;Consumo
18.0;2;1;2;120
20.0;3;2;3;150
24.0;4;5;5;260
28.0;5;7;7;360
30.0;6;8;8;410
16.0;1;0;1;80
22.0;3;3;4;210
26.0;5;6;6;320
29.0;6;8;7;390
19.0;2;1;2;130
32.0;3;7;8;518
13.0;7;8;8;348
13.0;4;7;9;344
23.0;4;3;2;325
23.0;4;0;3;248
34.0;7;5;5;503
20.0;4;0;8;249
26.0;5;5;4;393
26.0;5;6;4;426
23.0;3;0;1;232
17.0;5;3;2;282
17.0;2;4;3;291
27.0;7;5;2;423
25.0;5;3;10;367
27.0;4;5;1;376
29.0;0;0;5;331
25.0;6;0;5;291
35.0;5;7;0;525
24.0;2;10;4;458
25.0;4;7;12;484
19.0;2;5;4;339
26.0;4;11;5;515
27.0;0;3;0;334
20.0;3;10;3;422
29.0;5;7;4;484
27.0;4;6;4;444
20.0;4;2;5;268
24.0;9;8;7;480
23.0;4;0;3;284
27.0;2;1;6;320
