Temperatura,Personas,Horas_AC,Horas_TV,Consumo
18.0,2,1,2,106
20.0,3,2,3,185
24.0,4,5,5,298
28.0,5,7,7,377
30.0,6,8,8,387
16.0,1,0,1,76
22.0,3,3,4,246
26.0,5,6,6,382
29.0,6,8,7,371
19.0,2,1,2,152
32.0,3,7,8,435
13.0,7,8,8,259
13.0,4,7,9,338
23.0,4,3,2,146
23.0,4,0,3,211
34.0,7,5,5,370
20.0,4,0,8,280
26.0,5,5,4,342
26.0,5,6,4,260
23.0,3,0,1,124
17.0,5,3,2,179
17.0,2,4,3,172
27.0,7,5,2,277
25.0,5,3,10,388
27.0,4,5,1,206
29.0,0,0,5,313
25.0,6,0,5,234
35.0,5,7,0,247
24.0,2,10,4,280
25.0,4,7,12,439
19.0,2,5,4,174
26.0,4,11,5,330
27.0,0,3,0,180
20.0,3,10,3,204
29.0,5,7,4,292
27.0,4,6,4,251
20.0,4,2,5,210
24.0,9,8,7,390
23.0,4,0,3,189
27.0,2,1,6,254
22.5,4,0,4,213
24.7,2,9,4,288
23.2,4,1,3,176
26.0,5,5,6,269
15.9,5,3,2,197
23.7,4,0,3,149
26.9,5,6,4,265
27.8,7,5,2,250
31.7,4,7,7,372
32.2,3,6,8,394
25.2,4,2,9,369
26.2,4,6,4,191
27.1,1,1,7,258
25.5,5,3,10,390
24.4,4,5,5,256
16.4,3,4,3,154
19.6,3,1,3,166
25.4,5,3,10,322
25.3,5,8,12,497
22.9,9,8,7,333
18.8,4,2,3,138
17.0,4,3,3,162
26.7,0,3,0,140
13.0,7,8,8,320
16.8,2,3,3,150
27.5,4,4,1,230
25.1,6,0,5,232
35.0,5,8,0,260
33.3,8,5,5,327
21.3,4,0,3,176
24.6,4,5,5,267
21.1,4,2,5,223
21.8,3,3,4,205
17.1,5,3,2,162
29.2,6,9,6,311
23.8,4,0,3,165
26.4,5,5,4,266
28.2,5,8,7,329
27.0,3,5,1,192
23.0,3,2,2,166
28.3,5,8,7,323
28.8,1,0,5,214
20.4,2,3,2,66
22.9,2,0,1,90
35.0,5,6,0,246
21.4,3,3,4,211
26.2,6,7,6,334
28.3,5,7,3,245
23.1,4,4,2,184
19.9,4,0,7,267
26.1,3,6,4,219
27.5,3,1,5,270
27.9,5,7,7,378
20.9,3,2,3,159
16.7,1,0,1,106
27.6,5,7,7,341
23.6,2,11,5,255
25.4,6,6,4,287
28.2,1,0,5,317
19.8,3,9,2,181
19.7,2,1,2,150
26.0,3,5,4,236
23.4,4,3,1,120
19.4,1,5,4,194
23.3,4,1,3,204
26.4,6,6,6,313
22.4,4,4,1,175
27.4,7,6,2,225
26.7,2,1,6,249
15.8,4,4,1,138
34.0,7,5,5,393
25.6,5,5,4,241
25.7,4,3,11,460
28.9,0,0,5,245
27.0,4,5,1,199
24.2,2,10,4,255
22.9,3,0,3,195
17.9,2,1,1,102
27.4,4,5,1,207
21.5,3,3,4,176
28.6,6,8,7,322
24.5,5,3,9,393
18.7,2,0,2,101
25.6,5,6,6,310
24.9,6,3,10,400
31.7,3,7,8,448
19.8,4,0,8,282
25.6,5,6,6,300
29.2,5,7,4,282
28.5,5,8,4,297
26.3,0,3,0,106
29.7,6,9,9,435
22.6,4,0,3,181
34.3,5,6,0,291
21.8,3,2,5,225
28.2,7,8,7,318
26.9,5,6,6,404
13.0,7,8,9,336
19.7,4,10,3,276
26.8,0,3,0,102
27.8,7,5,2,237
24.1,5,3,10,398
20.1,5,2,5,243
29.5,4,7,5,327
26.8,1,1,6,204
16.4,1,5,2,67
24.9,5,0,6,323
29.8,4,8,4,354
17.7,2,1,2,112
29.7,5,7,4,345
20.1,4,2,5,189
23.6,4,3,2,159
24.1,3,5,6,249
17.8,2,1,2,90
30.8,6,8,8,436
29.1,0,0,4,206
23.1,3,3,3,265
23.4,4,1,4,232
25.5,6,0,5,297
29.4,7,8,6,378
22.3,4,0,2,195
22.7,4,0,3,157
28.7,0,0,4,273
13.0,5,8,9,299
25.6,3,11,6,362
22.7,3,0,3,134
26.2,4,10,4,290
28.2,4,8,7,364
25.0,5,7,11,409
19.8,4,2,4,204
27.6,7,5,2,289
23.0,4,0,3,165
23.5,5,0,3,226
23.7,3,11,5,253
27.2,4,6,4,337
13.7,5,6,9,314
24.7,5,11,5,360
21.7,3,3,4,229
17.3,1,4,3,157
35.0,5,6,1,293
20.1,3,1,2,136
16.0,1,0,1,19
35.0,5,7,0,264
35.0,4,7,0,221
22.6,2,0,1,91
25.1,4,7,12,465
32.2,2,7,7,364
35.0,6,7,0,288
27.4,4,6,1,180
22.9,4,0,3,171
27.1,0,3,0,175
17.1,2,1,3,143
25.5,6,0,5,218
13.3,4,7,9,294
24.6,4,6,5,321
22.9,4,0,3,171
16.1,1,0,1,87
25.8,5,6,7,310
24.4,7,0,4,234
28.7,7,8,7,414
19.1,4,2,5,219
